State ,Year,Area
Malaysia,2000,4837499
Malaysia,2001,4840431
Malaysia,2002,4701858
Malaysia,2003,13096197
Malaysia,2004,13032991
Malaysia,2005,13014350
Malaysia,2006,13007668
Malaysia,2007,12993397
Malaysia,2008,13093975
Malaysia,2009,13119072
Malaysia,2010,14526332
Malaysia,2011,14519081
Malaysia,2012,12840026
Malaysia,2013,12919086
Malaysia,2014,12901681
Malaysia,2015,12788296
Malaysia,2016,12782366
Malaysia,2017,12626800
Malaysia,2018,12553152
Peninsular Malaysia ,2000,4837499
Peninsular Malaysia ,2001,4840431
Peninsular Malaysia ,2002,4701858
Peninsular Malaysia ,2003,4696211
Peninsular Malaysia ,2004,4683505
Peninsular Malaysia ,2005,4711264
Peninsular Malaysia ,2006,4726182
Peninsular Malaysia ,2007,4695630
Peninsular Malaysia ,2008,4807565
Peninsular Malaysia ,2009,4930569
Peninsular Malaysia ,2010,4919685
Peninsular Malaysia ,2011,4912434
Peninsular Malaysia ,2012,4893613
Peninsular Malaysia ,2013,4936290
Peninsular Malaysia ,2014,4933787
Peninsular Malaysia ,2015,4916748
Peninsular Malaysia ,2016,4924153
Peninsular Malaysia ,2017,4811226
Peninsular Malaysia ,2018,4803350
Johor,2000,358096
Johor,2001,358096
Johor,2002,358096
Johor,2003,356922
Johor,2004,355772
Johor,2005,375864
Johor,2006,391499
Johor,2007,391499
Johor,2008,441251
Johor,2009,438751
Johor,2010,432678
Johor,2011,432208
Johor,2012,432208
Johor,2013,432209
Johor,2014,432184
Johor,2015,414637
Johor,2016,414628
Johor,2017,332749
Johor,2018,332749
Kedah,2000,346516
Kedah,2001,346343
Kedah,2002,344449
Kedah,2003,344530
Kedah,2004,342613
Kedah,2005,342613
Kedah,2006,342613
Kedah,2007,342613
Kedah,2008,342613
Kedah,2009,342613
Kedah,2010,342613
Kedah,2011,342613
Kedah,2012,325463
Kedah,2013,341976
Kedah,2014,341976
Kedah,2015,341976
Kedah,2016,341976
Kedah,2017,341976
Kedah,2018,341976
Kelantan,2000,629687
Kelantan,2001,629687
Kelantan,2002,629687
Kelantan,2003,629687
Kelantan,2004,629367
Kelantan,2005,629687
Kelantan,2006,629687
Kelantan,2007,629687
Kelantan,2008,623849
Kelantan,2009,623849
Kelantan,2010,623849
Kelantan,2011,623849
Kelantan,2012,623849
Kelantan,2013,623849
Kelantan,2014,623849
Kelantan,2015,623849
Kelantan,2016,635437
Kelantan,2017,613275
Kelantan,2018,613275
Melaka,2000,5332
Melaka,2001,5462
Melaka,2002,5462
Melaka,2003,5468
Melaka,2004,5185
Melaka,2005,5185
Melaka,2006,5159
Melaka,2007,5079
Melaka,2008,5080
Melaka,2009,5080
Melaka,2010,5079
Melaka,2011,4818
Melaka,2012,5151
Melaka,2013,5151
Melaka,2014,5093
Melaka,2015,5104
Melaka,2016,5137
Melaka,2017,5138
Melaka,2018,5199
Negeri Sembilan,2000,168721
Negeri Sembilan,2001,168001
Negeri Sembilan,2002,167801
Negeri Sembilan,2003,165639
Negeri Sembilan,2004,162075
